occupancy_type,occupancy_source,occupancy_confidence,OCCUP_TYPE
ORFS,HAZUS DERIVED,,3165
OTF,HAZUS DERIVED,,3170
PCVS,HAZUS DERIVED,,3175
PPPL,HAZUS DERIVED,,3180
PPPM,HAZUS DERIVED,,3185
PPPS,HAZUS DERIVED,,3190
PSTAS,HAZUS DERIVED,,3195
PSTBC,HAZUS DERIVED,,3200
PSTGC,HAZUS DERIVED,,3205
PSTGS,HAZUS DERIVED,,3210
PSTGW,HAZUS DERIVED,,3215
PWTL,HAZUS DERIVED,,3220
PWTM,HAZUS DERIVED,,3225
PWTS,HAZUS DERIVED,,3230
REL1,HAZUS DERIVED,,3240
RES1,HAZUS DERIVED,,3245
RES2,HAZUS DERIVED,,3250
RES3A,HAZUS DERIVED,,3255
RES3B,HAZUS DERIVED,,3260
RES3C,HAZUS DERIVED,,3265
RES3D,HAZUS DERIVED,,3270
RES3E,HAZUS DERIVED,,3275
RES3F,HAZUS DERIVED,,3280
RES4,HAZUS DERIVED,,3285
RES5,HAZUS DERIVED,,3290
RES6,HAZUS DERIVED,,3295
WLSL,HAZUS DERIVED,,3300
WLSM,HAZUS DERIVED,,3305
WLSS,HAZUS DERIVED,,3310
WWCV,HAZUS DERIVED,,3315
WWTL,HAZUS DERIVED,,3320
WWTM,HAZUS DERIVED,,3325
WWTS,HAZUS DERIVED,,3330
AGR1,ESTIMATED,,4000
COM1,ESTIMATED,,4005
COM10,ESTIMATED,,4010
COM2,ESTIMATED,,4015
COM3,ESTIMATED,,4020
COM4,ESTIMATED,,4025
COM5,ESTIMATED,,4030
COM6,ESTIMATED,,4035
COM7,ESTIMATED,,4040
COM8,ESTIMATED,,4045
COM9,ESTIMATED,,4050
EDU1,ESTIMATED,,4055
EDU2,ESTIMATED,,4060
EPPL,ESTIMATED,,4065
EPPM,ESTIMATED,,4070
EPPS,ESTIMATED,,4075
ESSH,ESTIMATED,,4080
ESSL,ESTIMATED,,4085
ESSM,ESTIMATED,,4090
GOV1,ESTIMATED,,4095
GOV2,ESTIMATED,,4100
IND1,ESTIMATED,,4105
IND2,ESTIMATED,,4110
IND3,ESTIMATED,,4115
IND4,ESTIMATED,,4120
IND5,ESTIMATED,,4125
IND6,ESTIMATED,,4130
NGC,ESTIMATED,,4135
NGCV,ESTIMATED,,4140
OCV,ESTIMATED,,4145
OPP,ESTIMATED,,4150
ORFL,ESTIMATED,,4155
ORFM,ESTIMATED,,4160
ORFS,ESTIMATED,,4165
OTF,ESTIMATED,,4170
PCVS,ESTIMATED,,4175
PPPL,ESTIMATED,,4180
PPPM,ESTIMATED,,4185
PPPS,ESTIMATED,,4190
PSTAS,ESTIMATED,,4195
PSTBC,ESTIMATED,,4200
PSTGC,ESTIMATED,,4205
PSTGS,ESTIMATED,,4210
PSTGW,ESTIMATED,,4215
PWTL,ESTIMATED,,4220
PWTM,ESTIMATED,,4225
PWTS,ESTIMATED,,4230
REL1,ESTIMATED,,4240
RES1,ESTIMATED,,4245
RES2,ESTIMATED,,4250
RES3A,ESTIMATED,,4255
RES3B,ESTIMATED,,4260
RES3C,ESTIMATED,,4265
RES3D,ESTIMATED,,4270
RES3E,ESTIMATED,,4275
RES3F,ESTIMATED,,4280
RES4,ESTIMATED,,4285
RES5,ESTIMATED,,4290
RES6,ESTIMATED,,4295
WLSL,ESTIMATED,,4300
WLSM,ESTIMATED,,4305
WLSS,ESTIMATED,,4310
WWCV,ESTIMATED,,4315
WWTL,ESTIMATED,,4320
WWTM,ESTIMATED,,4325
WWTS,ESTIMATED,,4330
AGR1,RESEARCH DERIVED,HIGH CONFIDENCE,5000
COM1,RESEARCH DERIVED,HIGH CONFIDENCE,5005
COM10,RESEARCH DERIVED,HIGH CONFIDENCE,5010
COM2,RESEARCH DERIVED,HIGH CONFIDENCE,5015
COM3,RESEARCH DERIVED,HIGH CONFIDENCE,5020
COM4,RESEARCH DERIVED,HIGH CONFIDENCE,5025
COM5,RESEARCH DERIVED,HIGH CONFIDENCE,5030
COM6,RESEARCH DERIVED,HIGH CONFIDENCE,5035
COM7,RESEARCH DERIVED,HIGH CONFIDENCE,5040
COM8,RESEARCH DERIVED,HIGH CONFIDENCE,5045
COM9,RESEARCH DERIVED,HIGH CONFIDENCE,5050
EDU1,RESEARCH DERIVED,HIGH CONFIDENCE,5055
EDU2,RESEARCH DERIVED,HIGH CONFIDENCE,5060
EPPL,RESEARCH DERIVED,HIGH CONFIDENCE,5065
EPPM,RESEARCH DERIVED,HIGH CONFIDENCE,5070
EPPS,RESEARCH DERIVED,HIGH CONFIDENCE,5075
ESSH,RESEARCH DERIVED,HIGH CONFIDENCE,5080
ESSL,RESEARCH DERIVED,HIGH CONFIDENCE,5085
ESSM,RESEARCH DERIVED,HIGH CONFIDENCE,5090
GOV1,RESEARCH DERIVED,HIGH CONFIDENCE,5095
GOV2,RESEARCH DERIVED,HIGH CONFIDENCE,5100
IND1,RESEARCH DERIVED,HIGH CONFIDENCE,5105
IND2,RESEARCH DERIVED,HIGH CONFIDENCE,5110
IND3,RESEARCH DERIVED,HIGH CONFIDENCE,5115
IND4,RESEARCH DERIVED,HIGH CONFIDENCE,5120
IND5,RESEARCH DERIVED,HIGH CONFIDENCE,5125
IND6,RESEARCH DERIVED,HIGH CONFIDENCE,5130
NGC,RESEARCH DERIVED,HIGH CONFIDENCE,5135
NGCV,RESEARCH DERIVED,HIGH CONFIDENCE,5140
OCV,RESEARCH DERIVED,HIGH CONFIDENCE,5145
OPP,RESEARCH DERIVED,HIGH CONFIDENCE,5150
ORFL,RESEARCH DERIVED,HIGH CONFIDENCE,5155
ORFM,RESEARCH DERIVED,HIGH CONFIDENCE,5160
ORFS,RESEARCH DERIVED,HIGH CONFIDENCE,5165
OTF,RESEARCH DERIVED,HIGH CONFIDENCE,5170
PCVS,RESEARCH DERIVED,HIGH CONFIDENCE,5175
PPPL,RESEARCH DERIVED,HIGH CONFIDENCE,5180
PPPM,RESEARCH DERIVED,HIGH CONFIDENCE,5185
PPPS,RESEARCH DERIVED,HIGH CONFIDENCE,5190
PSTAS,RESEARCH DERIVED,HIGH CONFIDENCE,5195
PSTBC,RESEARCH DERIVED,HIGH CONFIDENCE,5200
PSTGC,RESEARCH DERIVED,HIGH CONFIDENCE,5205
PSTGS,RESEARCH DERIVED,HIGH CONFIDENCE,5210
PSTGW,RESEARCH DERIVED,HIGH CONFIDENCE,5215
PWTL,RESEARCH DERIVED,HIGH CONFIDENCE,5220
PWTM,RESEARCH DERIVED,HIGH CONFIDENCE,5225
PWTS,RESEARCH DERIVED,HIGH CONFIDENCE,5230
REL1,RESEARCH DERIVED,HIGH CONFIDENCE,5240
RES1,RESEARCH DERIVED,HIGH CONFIDENCE,5245
RES2,RESEARCH DERIVED,HIGH CONFIDENCE,5250
RES3A,RESEARCH DERIVED,HIGH CONFIDENCE,5255
RES3B,RESEARCH DERIVED,HIGH CONFIDENCE,5260
RES3C,RESEARCH DERIVED,HIGH CONFIDENCE,5265
RES3D,RESEARCH DERIVED,HIGH CONFIDENCE,5270
RES3E,RESEARCH DERIVED,HIGH CONFIDENCE,5275
RES3F,RESEARCH DERIVED,HIGH CONFIDENCE,5280
RES4,RESEARCH DERIVED,HIGH CONFIDENCE,5285
RES5,RESEARCH DERIVED,HIGH CONFIDENCE,5290
RES6,RESEARCH DERIVED,HIGH CONFIDENCE,5295
WLSL,RESEARCH DERIVED,HIGH CONFIDENCE,5300
WLSM,RESEARCH DERIVED,HIGH CONFIDENCE,5305
WLSS,RESEARCH DERIVED,HIGH CONFIDENCE,5310
WWCV,RESEARCH DERIVED,HIGH CONFIDENCE,5315
WWTL,RESEARCH DERIVED,HIGH CONFIDENCE,5320
WWTM,RESEARCH DERIVED,HIGH CONFIDENCE,5325
WWTS,RESEARCH DERIVED,HIGH CONFIDENCE,5330
AGR1,RESEARCH DERIVED,LOW CONFIDENCE,5335
COM1,RESEARCH DERIVED,LOW CONFIDENCE,5340
COM10,RESEARCH DERIVED,LOW CONFIDENCE,5345
COM2,RESEARCH DERIVED,LOW CONFIDENCE,5350
COM3,RESEARCH DERIVED,LOW CONFIDENCE,5355
COM4,RESEARCH DERIVED,LOW CONFIDENCE,5360
COM5,RESEARCH DERIVED,LOW CONFIDENCE,5365
COM6,RESEARCH DERIVED,LOW CONFIDENCE,5370
COM7,RESEARCH DERIVED,LOW CONFIDENCE,5375
COM8,RESEARCH DERIVED,LOW CONFIDENCE,5380
COM9,RESEARCH DERIVED,LOW CONFIDENCE,5385
EDU1,RESEARCH DERIVED,LOW CONFIDENCE,5390
EDU2,RESEARCH DERIVED,LOW CONFIDENCE,5395
EPPL,RESEARCH DERIVED,LOW CONFIDENCE,5400
EPPM,RESEARCH DERIVED,LOW CONFIDENCE,5405
EPPS,RESEARCH DERIVED,LOW CONFIDENCE,5410
ESSH,RESEARCH DERIVED,LOW CONFIDENCE,5415
ESSL,RESEARCH DERIVED,LOW CONFIDENCE,5420
ESSM,RESEARCH DERIVED,LOW CONFIDENCE,5425
GOV1,RESEARCH DERIVED,LOW CONFIDENCE,5430
GOV2,RESEARCH DERIVED,LOW CONFIDENCE,5435
IND1,RESEARCH DERIVED,LOW CONFIDENCE,5440
IND2,RESEARCH DERIVED,LOW CONFIDENCE,5445
IND3,RESEARCH DERIVED,LOW CONFIDENCE,5450
IND4,RESEARCH DERIVED,LOW CONFIDENCE,5455
IND5,RESEARCH DERIVED,LOW CONFIDENCE,5460
IND6,RESEARCH DERIVED,LOW CONFIDENCE,5465
NGC,RESEARCH DERIVED,LOW CONFIDENCE,5470
NGCV,RESEARCH DERIVED,LOW CONFIDENCE,5475
OCV,RESEARCH DERIVED,LOW CONFIDENCE,5480
OPP,RESEARCH DERIVED,LOW CONFIDENCE,5485
ORFL,RESEARCH DERIVED,LOW CONFIDENCE,5490
ORFM,RESEARCH DERIVED,LOW CONFIDENCE,5495
ORFS,RESEARCH DERIVED,LOW CONFIDENCE,5500
OTF,RESEARCH DERIVED,LOW CONFIDENCE,5505
PCVS,RESEARCH DERIVED,LOW CONFIDENCE,5510
PPPL,RESEARCH DERIVED,LOW CONFIDENCE,5515
PPPM,RESEARCH DERIVED,LOW CONFIDENCE,5520
PPPS,RESEARCH DERIVED,LOW CONFIDENCE,5525
